Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S185956082,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2024-07-07,08:37 PM,eBird - Traveling Count,29,1,.418,,1
S186245651,Canada Goose,Branta canadensis,342,4,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2024-07-08,06:37 PM,eBird - Traveling Count,59,1,1.078,,1
S191234658,Canada Goose,Branta canadensis,342,8,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2024-08-12,06:34 PM,eBird - Stationary Count,5,1,,,1
S215914147,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2025-02-28,05:47 PM,eBird - Stationary Count,5,1,,,1
S231014378,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2025-04-29,07:54 PM,eBird - Traveling Count,7,1,.082,,1
S232647749,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2025-05-03,03:19 PM,eBird - Traveling Count,32,1,1.03,,1
S281282055,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2025-10-25,12:08 PM,eBird - Traveling Count,28,1,.952,,1
S291020793,Canada Goose,Branta canadensis,342,3,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2025-12-29,11:39 AM,eBird - Traveling Count,9,1,.336,,1
S292971443,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2026-01-07,12:17 PM,eBird - Traveling Count,22,1,.58,,1
S294242612,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2026-01-14,03:41 PM,eBird - Traveling Count,18,1,.518,,1
S316385681,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33913928,"Camden Retention Pond, Gaithersburg, Maryland, US (39.12, -77.206)",39.1197497,-77.2064087,2026-04-03,01:09 PM,eBird - Traveling Count,39,1,1.061,,1
S228011793,Canada Goose,Branta canadensis,342,8,US-MD,Montgomery,L3043543,Crabbs Branch Pond,39.122276,-77.1587741,2025-04-21,07:07 PM,eBird - Traveling Count,19,1,.917,,1
S248990243,Canada Goose,Branta canadensis,342,X,US-MD,Montgomery,L3043543,Crabbs Branch Pond,39.122276,-77.1587741,2025-06-10,05:46 PM,eBird - Traveling Count,13,1,.29,,1
S292776205,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L56914155,"Crown Woods, Gaithersburg, Maryland, US (39.117, -77.211)",39.1166315,-77.2109226,2026-01-06,10:14 AM,eBird - Stationary Count,2,1,,,1
S197341843,Canada Goose,Branta canadensis,342,17,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2024-10-03,08:56 AM,eBird - Traveling Count,14,1,.867,,2,,All at the school playground
S212334920,Canada Goose,Branta canadensis,342,12,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2025-02-07,02:23 PM,eBird - Traveling Count,70,1,1.77,,1
S239960481,Canada Goose,Branta canadensis,342,11,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2025-05-11,08:19 PM,eBird - Traveling Count,25,1,1.492,,1
S301950574,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2026-02-18,07:24 AM,eBird - Traveling Count,94,1,.445,,1
S307587013,Canada Goose,Branta canadensis,342,35,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2026-03-09,09:15 AM,eBird - Traveling Count,18,1,.498,,1,,Flyover,Gorgeous morning. So many resident birds chirping and building nests.
S308062000,Canada Goose,Branta canadensis,342,4,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2026-03-10,08:52 AM,eBird - Traveling Count,211,1,.414,,1
S317291213,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L9055068,Hibiscus court Maryland,39.1187154,-77.2108193,2026-04-05,09:26 AM,eBird - Traveling Count,19,1,.322,,2,,,Stormy morning
S227622469,Canada Goose,Branta canadensis,342,4,US-MD,Montgomery,L126620,Hughes Hollow - McKee Beshers WMA,39.0803767,-77.4035096,2025-04-20,05:15 PM,eBird - Traveling Count,87,1,2.301,,1
